"releaseid","prdate","headline","prcopy","noteslabel","notestextcopy","photolabel","phototextcopy","keyword1","keyword2","keyword3","keyword4","keyword5","shortdescription","shorttitle"
"3849","13/09/2011 16:12:00","OPEN HOUSE WELCOMES OPEN SCHOOL","For the first time, one of the Royal Borough&#39;s primary schools will be featuring in the London Open House weekend. Taking place on Saturday 17 and Sunday 18 September, Park Walk Primary School will open its doors to the public, for free, to help celebrate the architecture of London.<br /><br />Park Walk Primary is listed Grade II by English Heritage, and visitors to the school will receive an architect&#39;s tour.  This will include the exciting lift installation designed to offer more than mere elevation. A lift zone was created which stimulates children&#39;s educational curiosity with an impressive display of life size animal murals, whilst the rear face of the lift car is glazed to allow views of nocturnal animals.  <br /><br />The school received recognition for its architecture in 2010 when it won an award for the best nursery toilet facilities in the country, voted for by the British Toilet Association.<br /><br />The combination of Grade II listed external architecture and the innovations in the lift area, are sure to make an impressive addition to this year&#39;s Open House London. <br /><br />Councillor Nick Paget-Brown, Deputy Leader of the Royal Borough of Kensington and Chelsea, said: &#34;We are proud that this is the first time one of the Royal Borough&#39;s primary schools has featured in the Open House London weekend. <br /><br />&#34;This is testament to the hard work of the Council staff, architects, the school and English Heritage whose efforts ensured a stunning piece of architecture was enhanced sensitively and in worthwhile manner.<br /><br />&#34;I would urge local residents to visit the school this weekend to see for themselves how this project has made a significant improvement to the daily experience of the pupils.&#34;<br />","NULL","NULL","NULL","NULL","Paget-Brown","school  ","Award winning ","open house london",,"For the first time, one of the Royal Borough&#39;s primary schools will be featuring in the London Open House weekend. Taking place on Saturday 17 and Sunday 18 September, Park Walk Primary School will open its doors to the public, for free, to help celebrate the architecture of London.","Open House welcomes open school"
"3850","20/09/2011 18:30:00","BEWARE OF BOGUS CALLERS ROADSHOWS","Elderly residents are being encouraged to beware of bogus callers and scammers through a series of free workshops and theatre performances organised by the Council, police and Age Concern Kensington and Chelsea.<br /><br />The Safe and Sure roadshows are aimed at senior residents, particularly those living by themselves to help raise awareness of scams and bogus callers as well as build their confidence and take action to avoid becoming a victim.<br /><br />The first event takes place on Friday 16 September, from 10.30am to noon at New Horizons, Guinness Trust Estate, SW3 2PF.<br /><br />Other events take place on:<br /><br />Thursday 22 September from 10.30am at Venture Community Association, 103a Wornington Road, W10 5YB<br /><br />Thursday 22 September from 2.30pm at Gloucester Court Sheltered Housing, 2 Bassett Road, W10 6JJ<br /><br />All are free to attend and features role-playing scenarios brought to life by a local theatre company. Council trading standards officers and the police will also be on hand to offer information and advice. <br /><br />The roadshows will be taking place across the borough throughout September, with the final event on Wednesday 28 September, from 2.30pm at St Mary The Boltons Church, The Boltons, SW10 9TB. <br /><br />Councillor Rock Feilding-Mellen, the Council&#39;s Cabinet Member for Civil Society, said:<br /><br />&#34;Elderly residents can often find themselves being targeted by bogus sales people, fake lottery letters and telephone scams. <br /> <br />&#34;The Safe and Sure roadshows help older residents recognise scams and the role playing scenarios helps to build their confidence in handling these situations.&#34;<br /><br />For more information and a list of dates and venues, contact Tasio Cabello at Age Concern Kensington and Chelsea on 020 8969 9105.<br />","NULL","NULL","NULL","NULL","Trading Standards","Age Concern","scammers","stay safe",,"Elderly residents are being encouraged to beware of bogus callers and scammers through a series of free workshops and theatre performance organised by the Council, police and Age Concern Kensington and Chelsea.","Beware of bogus callers roadshows"
"3851","16/09/2011 16:53:00","HISTORIC PORTOBELLO LOOS RETURNED TO FORMER GLORY","Visitors to the world-famous Portobello Market are now only steps away from two newly restored Edwardian public lavatories, thanks to the Council.<br /><br />Located in Bevington Road and Talbot Road, the toilets have been sympathetically restored keeping as many original features as possible.  The original urinals at Talbot Road have been preserved and characteristic Edwardian-style floor tiles adorn the floors of both toilets.<br /><br />First opened around 1914, the Bevington Road public lavatories, serving Golborne Road Market, are thought to be the oldest in the Royal Borough. Along with the Talbot Road facilities, which opened a short while later, they are typical of the Edwardian period. <br /><br />The Talbot Road lavatories were closed during the 1990s but local traders have campaigned for them to be reopened.<br /><br />Deputy Leader of the Royal Borough of Kensington and Chelsea, Cllr Nick Paget-Brown, said: &#34;Close to 60,000 people visit the market each Saturday so these new facilities will be in much demand. I know that local traders and residents will be pleased with the high quality of work that has restored age-old lavatories to their former glory.&#34;<br /><br />The Talbot Road lavatory will be open Fridays and Saturdays 8am to 6pm, and the Bevington Road lavatory will be open Monday to Thursday 9am to 6pm and Friday and Saturday 8am to 6pm.","NULL","NULL","NULL","NULL","Portobello Market","Lavatory","cllr Paget-Brown","Talbot road","bevington road","Visitors to the world-famous Portobello Market are now only steps away from two newly restored Edwardian public lavatories, thanks to the Council.","Historic Portobello loos returned to former glory"
"3853","15/09/2011 12:32:00","GREEN LIGHT FOR KENSINGTON ALDRIDGE ACADEMY","The creation of a new academy in North Kensington has taken an important leap forward recently with formal approval from the Government of funding of £17.6m as a contribution towards the cost of the construction of the new buildings.<br /><br />The Lead Sponsor, the Aldridge Foundation, and the co-sponsor, the Royal Borough of Kensington and Chelsea, have jointly signed an agreement with Schools Minister Lord Hill.  The signing of the `funding agreement&#39; is a key milestone in the process of creating the Academy in September 2014. <br /><br />Speaking for the Aldridge Foundation, its Chairman Rod Aldridge, said: &#34;Confirmation of the way forward is wonderful news for the prospective pupils, parents and the community.  It will provide a fantastic environment within which learning and high quality teaching can flourish and a wide variety of choices, both academic and vocational, will be offered.  The new buildings will also be an asset for the community and an inspiring example of what can be achieved.&#34;<br /><br />Cllr Sir Merrick Cockell, Leader of the Royal Borough, commented &#34;Our young people badly need a new school in North Kensington and we are going to do all we can to provide them with one.  This Government contribution is a massive and very welcome vote of confidence in the scheme we are developing with the Aldridge Foundation.&#34;<br /><br />&#34;But we still have a long way to go.  We have to make sure the finances stack up, we have to do a lot more consultation and of course we need to submit a credible planning application.  We have a lot of work ahead of us.&#34;<br /><br />The Kensington Aldridge Academy will open in September 2014 on the site adjacent to the Kensington Leisure Centre on Silchester Road.   The Academy will be a non-fee paying, non-faith, mixed 11-18 school with 900 11-16 year olds and a sixth form of up to 240.<br /><br />A new secondary school is urgently needed for North Kensington.  Over 50 per cent of local students travel outside the borough for their secondary education.  Over 77 per cent of respondents to a recent public consultation were in favour of the Academy.<br /><br />Several design forums will soon be established to share and discuss the possible design schemes for the Academy with the local community.<br /><br /><br />","NULL","NULL","NULL","NULL","North kensington","Aldridge foundation","Royal Borough of Kensington and Chelsea","Academy","sir merrick cockell","The creation of a new academy in North Kensington has taken an important leap forward recently with formal approval from the Government of funding of £17.6m as a contribution towards the cost of the construction of the new buildings.","Green light for Kensington Aldridge Academy"
"3855","20/09/2011 12:47:00"," Blooming success for Royal Borough","Kensington and Chelsea was again the delighted recipient of a host of awards at `London in Bloom&#39;, held at City Hall, last Friday 16 September. <br /><br />The Royal Borough gained a prestigious Gold in the City category for the second year running.  Holland Park also repeated last year&#39;s excellent result by maintaining its Gold standard, and was joined by Little Wormwood Scrubs, Cremorne and Kensington Memorial Park.  There was also good news for Gunnersbury Cemetery which won Cemetery of the Year and a Gold Award.<br /><br />As well as these excellent results the borough&#39;s parks also secured Silver-gilt awards for Westfield and St Luke&#39;s and the borough came second in the Floral Display category.<br /><br />Councillor Nick Paget-Brown, Cabinet Member for Transportation, Environment and Leisure, said: &#34;It was a fantastic evening last Friday.  I am delighted that the London in Bloom judges were able to give the borough such recognition.   Residents and Council officers work hard and take pride in how the borough looks and this is a great result for all of them.<br /><br />&#34;It is good news to see how many of our parks have progressed from Sliver Gilt, to Gold and also the number that have maintained the excellent results from last year.  It is particularly gratifying for everyone that the Royal Borough has secured Gold in the City category for the second year running, I would like to say thank you to everyone involved in making the borough&#39;s green spaces the wonderful places that they are.&#34;<br /><br />The Council works closely with many groups throughout the year to ensure the borough is always at its best, among these are the Brighter Kensington and Chelsea Scheme, Kensington Gardeners Club and Chelsea Gardens Guild.<br />","NULL","NULL","NULL","NULL","in Bloom","Holland Park","Little Wormwood Scrubs","London  ","Gold Award","Kensington and Chelsea was again the delighted recipient of a host of awards at `London in Bloom&#39;, held at City Hall, last Friday 16 September. "," Blooming success for Royal Borough"
"3856","20/09/2011 12:53:00","A Taste of Honey","Holland Park Honey is now on sale from the reception in the Stable Yard, Holland Park.  The honey, produced by the bees from Holland Park&#39;s own hives, has a taste all its own.<br /><br />Having sold out of the honey produced by its bees in the first two years, the Council has increased production this year and now is your chance to get a jar of honey for £6.50.<br /><br />The reception in Holland Park is open 9am to 5pm, Monday to Friday, but demand is high, so the earlier to avoid disappointment.<br />","NULL","NULL","NULL","NULL","Honey","Holland Park","sale","Bees",,"Holland Park Honey is now on sale from the reception in the Stable Yard, Holland Park.  The honey, produced by the bees from Holland Park&#39;s own hives, has a taste all its own.","A Taste of Honey"
"3857","20/09/2011 17:39:00","Norland ward by-election","Residents of Norland ward are being reminded that they have until next Wednesday 28 September to apply for proxy votes in the by-election taking place on Thursday 6 October.<br /><br />For further information or a form contact Electoral Services on 020 7361 3444, visit www.rbkc.gov.uk/byelection or email elect@rbkc.gov.uk<br />","NULL","NULL","NULL","NULL","by-election","Norland ward","Vote",,,"Residents of Norland ward are being reminded that they have until next Wednesday 28 September to apply for proxy votes in the by-election taking place on Thursday 6 October.","Norland ward by-election"
"3858","04/10/2011 16:39:00","TACKLING SOCIAL ISOLATION","Broadcaster and comedienne Ruby Wax, with singer-songwriter Judith Owen, delighted an audience at Kensington Town Hall yesterday, raising funds for a new centre for social isolation in the north of the borough.<br /><br />The event was hosted by the Mayor of the Royal Borough of Kensington and Chelsea, Councillor Julie Mills, together with local resident Jill Shaw Ruddock, founder of The Second Half of Your Life Foundation. The foundation is opening The Second Half Centre at St Charles Hospital in 2012.  The centre is the brainchild of Jill Shaw Ruddock and sets out to challenge the stereotypical image of centres for older people.  When open, it will offer a vibrant and exciting range of services to people of all interests and backgrounds.  <br /><br />The Mayor said: &#34;One of my ambitions this year is to help the isolated members of our community.  All too often, older people find they have few opportunities to meet others, expand their interests, hone their skills and improve their health.  This new centre offers all of those things and much more.  It will give people a reason to go out and - like New Horizons in Chelsea - it will provide a hub for activities which promote positive and successful ageing.<br /><br />&#34;I look forward to opening the centre officially in the New Year, and I must thank Jill for all the hard work she has done to make this happen.&#34;<br /><br />Working in partnership with existing well-established local charities, the centre will be a place where men and women can come together to have fun, connect socially, learn new skills, exercise and benefit from a multifaceted education programme of classes and lectures.","NULL","NULL","NULL","NULL","social isolation","the mayor ","Cllr Julie Mills","St Charles Hospital","Mayor&#39;s Charity","Broadcaster and comedienne Ruby Wax, with singer-songwriter Judith Owen, delighted an audience at Kensington Town Hall yesterday, raising funds for a new centre for social isolation in the north of the borough.","Tackling social isolation"
"3859","21/09/2011 18:33:00","RESTAURANT DIRECTOR BANNED FROM FOOD INDUSTRY FOR TWO YEARS","The director of a restaurant, who allowed his premises to be overrun with mice, causing food to become contaminated, has been prohibited from managing or working in any food business for two years. <br /><br />Mr Mohamed Eid pleaded guilty at West London Magistrates&#39; Court yesterday (Tuesday 20 September) to six charges in relation to: placing unsafe food on the market; not keeping the premises clean; failing to ensure food was protected from contamination; failing to have adequate pest procedures in place; premises not kept in a good state of repair and condition; and not protecting food from contamination likely to render food unfit for human consumption.<br /><br />Environmental Health Officers from the Royal Borough of Kensington and Chelsea visited Al Dar III Limited (trading as Falamanki) at 221 Kensington High Street in August 2010, and found the premises, to be infested by mice. They discovered spice mix contaminated by mice faeces and butterbeans and walnuts gnawed by the rodents. The officers also trapped 43 live mice.<br /><br />The officers closed the premises down immediately.<br /><br />Mr Eid told the court that he had had health problems and that his manager, who looked after the premises, had allowed conditions to get as bad as they did.<br /><br />District Judge Williams acknowledged Mr Eid&#39;s health problems and took into account the fact that the company is no longer trading, the fact that the restaurant was closed for ten days whilst Mr Eid cleaned it up after the Council&#39;s inspection and the fact he pleaded guilty.  She also noted that the Council was satisfied with the cleanliness of the premises when he reopened for business.<br /><br />The judge issued Mr Eid a Community Order prohibiting him from managing, directing and working in any food business for two years. District Judge Williams told Mr Eid that these were serious offences and mice droppings in food could have resulted in customers becoming seriously ill. <br /><br />Councillor Fiona Buxton, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Environmental Health, said: &#34;Mr Eid&#39;s premises were in a shocking state which put the health of his customers at risk.  I am extremely relieved that the Court has supported the swift action of the Council&#39;s officers.&#34;<br />","NULL","NULL","NULL","NULL","Al dar III","mohammed Eid","cllr Fiona buxton","Mice",,"The director of a restaurant, who allowed his premises to be overrun with mice, causing food to become contaminated, has been prohibited from managing or working in any food business for two years. ","Restaurant director banned from food industry for two years"
"3861","23/09/2011 11:33:00","NEW AFFORDABLE HOMES IN NORTH KENSINGTON","Much needed affordable new homes will be provided following a decision last night (Thursday 22 September) by the Royal Borough of Kensington and Chelsea&#39;s Cabinet to choose Peabody as its development partner to build 63 new homes on the Silchester Garages site. Thirty of these will be large family homes available through social renting, with the remainder smaller properties for shared ownership.<br /><br />The provision of new housing was a condition of the development of land at Holland Park School. The planning permission for the school&#39;s redevelopment created an obligation to develop 63 units of affordable housing on the Council-owned Silchester Garages site. <br /><br />Peabody will receive a grant of £2,925,000 from the Council, financed from the sale of part of the Holland Park School site.<br /><br />The development will help the Council meet its targets for the delivery of new housing of all tenures in the borough. The proposals extend further than the existing planning permission, and will involve the demolition of fourteen one-bedroom flats to enable an extra 15 social rented homes, six shared ownership and 28 homes for market sale to be built.  It will also contribute to the regeneration of the Latimer area through improved urban design and a more balanced tenure mix.<br /><br />Councillor Timothy Coleridge, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Housing, said: &#34;Good quality affordable housing is in great demand in the borough and this development will help to address this need. I am very pleased that we have been able to select Peabody to develop these much needed homes in North Kensington.&#34;<br /><br />","NULL","NULL","NULL","NULL","silchester garages site","Affordable homes","cllr  coleridge",,,"Much needed affordable new homes will be provided following a decision last night (Thursday 22 September) by the Royal Borough of Kensington and Chelsea&#39;s Cabinet to choose Peabody as its development partner to build 63 new homes on the Silchester Garages site. Thirty of these will be large family homes available through social renting, with the remainder smaller properties for shared ownership.","New affordable homes in North Kensington"
"3862","23/09/2011 12:44:00","NEW OPEN SPACE FOR NORTH KENSINGTON","Residents, churchgoers and children will gather this Sunday (25 September) to celebrate the transformation of a dark underused corner of land beside All Saints Church, Clydesdale Road in North Kensington, into a bright pocket park complete with play area and specially commissioned artwork.<br /><br />The opening of All Saints pocket park is the culmination of a partnership between local residents and the Royal Borough of Kensington and Chelsea, Notting Hill Housing Group, the environmental charity Groundwork and a local Montessori school.  The work was undertaken by the Royal Borough Environment Project after an extensive public consultation.<br /><br />The improvements included completely relandscaping the area, adding new surfaces and plants, thinning the thick tree canopy and adding new play and art features.  <br /><br />The artwork at the front of the site is a memorial to local author and philosopher John Michell and was donated by his friends. <br /><br />Fr. Jonathan Brownsell, parish priest of All Saints Church, has other reasons to cheer as his church, which owns the land and leases it Notting Hill Housing Group,  is marking its 150th anniversary and he is celebrating his 35th anniversary as parish priest.  <br /><br />Praising the community collaboration, Cllr Nick Paget-Brown, Deputy Leader of the Royal Borough of Kensington and Chelsea said: &#34;What better way to celebrate All Saint&#39;s 150 anniversary than to transform this underused corner of the area into a bright pocket park with something for all local residents whether they are one or 100-years old.  I&#39;d like to congratulate and thank everyone for their help in redesigning this open space and hope it will be enjoyed by many for years to come.&#34;<br /><br />","NULL","NULL","NULL","NULL","Park  ","All Saints Church","cllr Paget-Brown",,,"Residents, churchgoers and children will gather this Sunday (25 September) to celebrate the transformation of a dark underused corner of land beside All Saints Church, Clydesdale Road in North Kensington, into a bright pocket park complete with play area and specially commissioned artwork.","New open space for North Kensington"
"3863","27/09/2011 11:48:00","BRENT BACKS PLANS FOR KENSAL CROSSRAIL","The Royal Borough&#39;s plan to bring a Crossrail station to North Kensington is now being supported by neighbouring Brent Council.<br /><br />Councillor Sir Merrick Cockell, Leader of the Royal Borough of Kensington and Chelsea, said: &#34;I am delighted that Brent Council is backing our plans for a Crossrail station in Kensal. There is now an impressive alliance of councils, MPs and London Assembly Members, cutting across political parties, supporting us.  These are joined by local businesses, social landlords and residents&#39; groups who all see the massive opportunity to improve public transport and boost the local economy. <br /><br />&#34;I hope that those in London and national government, who will eventually make the decision, will see the benefit that this station will bring and deliver Crossrail for Kensal.&#34;<br /><br />Councillor Ann John OBE, Brent Council Leader, said: &#34;Brent Council supports the development of a Crossrail station in the Kensal area. The station would greatly improve public transport for residents and businesses in the south of Brent. The station would mean residents living in areas as Kensal Green, Kensal Rise and Harlesden would be linked to all of London by the most up-to-date public transport system. <br /><br />&#34;In addition, the building and development of such a major transport infrastructure project would help to not only regenerate Kensington and Chelsea but the south of Brent as well, offering significant new opportunities in terms of jobs and housing for many of our residents.&#34;<br /><br />A station in Kensal would transform accessibility in an area poorly served by public transport and help trigger a major development of the 67 acre former gas works site which is capable of accommodating more than 2,500 new homes as well as new business and community facilities.<br /><br />The proposals have received much support since Kensington and Chelsea Council announced earlier this year that it had committed to underwrite the £33m construction costs. MPs Karen Buck, Sarah Teather and Sir Malcolm Rifkind, and London Assembly member Jenny Jones, are all behind a new station. London Deputy Mayor Kit Malthouse described the case for Kensal Crossrail as &#34;overwhelming&#34;. Other supporters include National Grid, Portobello Antiques Dealers&#39; Association, Cath Kidston, Westway Development Trust, Kensington and Chelsea Chamber of Commerce and Sainsbury&#39;s.<br /><br />For full details of the Council&#39;s proposals for Kensal Crossrail, go to www.rbkc.gov.uk/crossrail <br /><br /><br />","NULL","NULL","NULL","NULL","Crossrail","Kensal crossrail","brent","Cllr Sir Merrick Cockell",,"The Royal Borough&#39;s plan to bring a Crossrail station to North Kensington is now being supported by neighbouring Brent Council.","Brent backs plans for Kensal Crossrail"
"3864","27/09/2011 15:42:00","COMMUNITY VOLUNTEERS AND YOUNG ATHLETES SET FOR GAMES TICKETS","People in the Royal Borough who make a positive contribution and commitment to the life of the borough will be eligible for tickets for both the Olympic Games and Paralympic Games. <br /><br />A nomination process, to help select who the tickets go to, will be launched at the end of this year. As well as nominations for outstanding young sportsmen and women, the coaches and volunteers who are the backbone of the borough&#39;s youth and sports clubs, residents will be able to champion volunteers and community workers who give their time and expertise in so many other important areas of our community life. <br /><br />In March 2011, the Royal Borough&#39;s Cabinet decided to buy 100 tickets for the Olympic Games, and on Thursday 22 September they agreed to purchase another 100 tickets for the Paralympic Games.<br /><br />Paralympic tickets cost less than those for the Olympic Games and range between £10 and £350.  Councillors agreed £4,240 to fund the cost of the tickets as a one-off cost from the Better City Life reserves.<br /><br />One nomination process will select recipients for both sets of tickets. <br /><br />Councillor Sir Merrick Cockell, Leader of the Royal Borough of Kensington and Chelsea, said: &#34;Having the Olympic and Paralympic Games on our doorstep is a once-in-a-lifetime opportunity and one that our young athletes, those who devote themselves to helping them, as well as those who volunteer in other ways, should get a chance to experience at first hand.&#34;<br />","NULL","NULL","NULL","NULL","olympics","paralympic games","Tickets","sir merrick cockell",,"People in the Royal Borough who make a positive contribution and commitment to the life of the borough will be eligible for tickets for both the Olympic Games and Paralympic Games. ","Community volunteers and young athletes set for Olympic and Paralympic Games tickets"
"3866","29/09/2011 11:57:00","WINNING ARCHITECT ANNOUNCED FOR ACADEMY AND LEISURE CENTRE","The competition to design a new academy and leisure centre for North Kensington has been won by a Studio E-led team that includes sports and leisure specialists LA Architects as well as building engineers Max Fordham and Curtin and Churchman landscape architects.<br /><br />Based in Hammersmith, Studio E is a multi-award winning architectural practice with several school and leisure centre projects already under its belt. These include the City Academy Hackney, the Skinners Academy Hackney, the Ark Academy Wembley, and sports centres in Watford, in Bathgate and for the American Community School in Cobham.<br /><br />As well as being familiar with the challenges of building schools and leisure centres, Studio E is also familiar with the Royal Borough.  In 1999 it was responsible for the award winning redesign of Emslie Horniman Pleasance, in 2003 it designed the classroom of the future at St Francis of Assisi primary school and more recently it completed the eye-catching sports and IT extension to St Charles Catholic Sixth Form College.<br /><br />More than 40 firms entered the competition to design the new academy and leisure centre.  Studio E was selected from a shortlist of six, following presentations to a panel of councillors together with a representative of the Council&#39;s co-sponsor.  The shortlisted designs were also on show to local residents at an exhibition earlier this month. Councillor Nick Paget-Brown, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Environment and Leisure and Chairman of the selection panel, said: &#34;The shortlisted designs showed some real energy and ingenuity. We drew great encouragement from them that we will be able to deliver a fine new school and leisure centre for the people of North Kensington.&#34;<br /><br />Studio E will now develop a series of design options for the academy and leisure centre.  These will be reviewed by a new community panel consisting of local residents and groups during the autumn before they are presented to the Council&#39;s Cabinet in December when a final decision will be taken as to whether or not the project can proceed.<br /><br />Subject to Cabinet approval, the designs will then form a planning application that is expected to be submitted in April 2012.  This will be subject to a full programme of pre-submission consultation with local residents in early 2012.  There will also be further statutory consultation as part of the legal requirements of seeking planning permission in the borough.  A decision by the Council&#39;s Planning Committee is then expected in the summer of 2012. <br /><br />","NULL","NULL","NULL","NULL","KaLC","Kensington academy","Leisure centre","studio e","cllr Paget-Brown","The competition to design a new academy and leisure centre for North Kensington has been won by a Studio E-led team that includes sports and leisure specialists LA Architects as well as building engineers Max Fordham and Curtin and Churchman landscape architects.","Winning architect announced for academy and leisure centre"
"3868","10/10/2011 11:18:00","CARE AND FUN FOR CARERS","Do you care for someone and need extra support? The Royal Borough is encouraging carers to come forward and take advantage of its support services.<br /><br />To find out how the Council can help, come along to a free event on Saturday 29 October from noon to 5pm at the top floor of Portobello Green Fitness Club, 3 to 5 Thorpe Close, W10 5XL. <br /> <br />The event, run by Carers Network Westminster, will offer live entertainment, art workshops and refreshments for all, including young carers.<br /><br />Can&#39;t make this event? Sign up for a range of free outings, including a screening at the IMAX Cinema, a Big Bus Tour or an evening at the Natural History Museum. To book, contact Susie Yau on 020 8960 3033 or email susie.yau@carers-network.co.uk<br /><br />Carers Champion, Cllr Gerard Hargreaves, said: &#34;Caring for someone is a huge commitment and involves a lot of time and effort. Many carers are already in touch with the Council, but I want to make sure that all carers know they can come to us for information, advice and practical support.&#34;<br /><br />From social activities and support groups, through to counselling and benefits advice, the Council funds a range of services for carers. If you provide regular care you may also qualify for a personal budget to support you in your caring role.<br /><br />If you need support, telephone Carers Kensington &#38; Chelsea on 0800 0321089 or email kandc@carersuk.org<br /><br />You can also find out more by visiting the Council&#39;s website at www.rbkc.gov.uk/carers","NULL","NULL","NULL","NULL","carers","cllr Hargreaves","support services","carers Kensington &#38; Chelsea","personal budget","Do you care for someone and need extra support? The Royal Borough is encouraging carers to come forward and take advantage of its support services.","Care and fun for carers"
"3869","30/09/2011 17:51:00","EMPLOYER DISABILITY AWARENESS EVENT  ","Do you want to find out how your company can benefit from employing people with disabilities?<br /><br />Pure Innovations, in partnership with the Royal Borough of Kensington and Chelsea, is holding a free disability awareness event for employers on Wednesday 12 October 2011 between 10am and 1pm in the Small Hall at Kensington Town Hall, Hornton Street W8.   <br /><br />Pure Innovations is a registered charity which exists to support vulnerable and disadvantaged adults by helping them live a more fulfilled life through paid employment.   They also support businesses and employers on how to recruit a diverse workforce. <br /><br />The Council&#39;s Executive Director of Housing, Health and Adult Social Care, Jean Daintith, will open the event and businesses will benefit from learning how they can make their workforce more diverse and inclusive.<br /><br />To find out more about Pure Innovations supported employment service for the Royal Borough of Kensington and Chelsea visit www.pureinnovations.co.uk <br /><br />To reserve your place at this event please email Corporate@pureinnovations.co.uk or call 0161 474 5902<br />","NULL","NULL","NULL","NULL","Disability","Awareness","Royal Borough of Kensington and Chelsea","Disadvantaged adults","pure innovations","Do you want to find out how your company can benefit from employing people with disabilities?","Employer disability awareness event  "
"3870","04/10/2011 12:08:00","FIRST £1M SAVINGS FROM SHARING SENIOR COUNCIL POSTS ","The Leaders of three leading councils announced Monday 3 October that the project to share council services across Kensington and Chelsea, Hammersmith &#38; Fulham and Westminster is on track to realise its first £1m of savings by cutting senior management roles. This includes saving:<br /> £320k by sharing a single Director of Children&#39;s Services; <br /> £320k by sharing a single Director of Adult Services;<br /> £100k by sharing a single Director of Libraries;<br /> £150k by combining environmental services across Hammersmith &#38; Fulham and Kensington and Chelsea; and <br /> £120k by making a joint appointment to the Director for Schools&#39; Quality and Standards between Hammersmith &#38; Fulham and Kensington and Chelsea.<br /> <br />This news comes as they publish a new analysis of the potential for shared services focusing on seven lessons learnt during the first year of Tri-borough working. The guide to encourage innovation and sharing services was launched at an event with Eric Pickles MP, Secretary of State for Communities and Local Government.<br /><br />The proposals will protect vital front line services at a time of necessary financial adjustment and will lead to a 50 per cent reduction in the number of middle and senior managers. There will also be a 50 per cent reduction in the overheads attached to front line services to the public. <br /> <br />In the pamphlet `Driving change: leadership, trust and money&#39; they show the success to date of the Tri-borough plan to combine services, including `strong leadership, a robust business case and momentum to change&#39;. <br /> <br />Commenting on the publication of the report, Cllr Sir Merrick Cockell, Leader of Kensington and Chelsea said: &#34;Our initial success shows that our approach offers lessons to other local authorities wanting to follow our lead. It has not been easy but the right mixture of strong political drive, excellent officer advice, high trust, comprehensive communications and forensic attention to the business case for sharing services has already resulted in impressive results. &#34;  <br /><br />Leader of Hammersmith &#38; Fulham Cllr Stephen Greenhalgh commented: &#34;Residents expect us to strain every sinew to deliver better services with fewer resources. One of the ways we can protect the front line is to strip out unnecessary and duplicated management overheads. This report shows how, by sharing the top jobs, it is possible to reduce the bill for senior managers by millions of pounds.&#34;<br />  <br />Colin Barrow, Leader of Westminster added: &#34;These proposals offer a better way than cutting services to meet the £100m savings target facing the three councils.  <br /> <br />&#34;Our residents will be able to access the best the other boroughs have to offer.  We will keep vital services like libraries open and make over one million books available to people across the three boroughs.  Our first joint campaign - `Summer in the City&#39; has already offered over 200 summer activities to families from all three councils.   <br /> <br />&#34;And we will do all this while making big savings through combining top and middle management jobs.&#34;    <br />","NULL","NULL","NULL","NULL","Tri-borough","Savings ","sharing services ","Cllr Sir Merrick Cockell","Royal Borough of Kensington and Chelsea","The Leaders of three leading councils announced Monday 3 October that the project to share council services across Kensington and Chelsea, Hammersmith &#38; Fulham and Westminster is on track to realise its first £1m of savings by cutting senior management roles. This includes saving:","First £1m savings from sharing senior council posts"
"3871","05/10/2011 13:32:00","COULD YOU FOSTER?","Residents considering fostering can find out more at an information evening on Thursday 20 October, from 6pm to 8pm at Isaac Newton Centre, 108A Lancaster Road, W11 1QS.<br /><br />The Council is recruiting foster carers for children and young people of all ages, faiths and cultural backgrounds. <br /><br />It could be for short periods (a matter of days or weeks), for longer periods of months or years, or sometimes permanently. In return, the Council provides training and support along with financial assistance. <br /><br />Cabinet Member for Family and Children&#39;s Services, Cllr Baroness Ritchie, said: &#34;Foster carers have the ability to change a young person&#39;s life for the better. It can be challenging but highly rewarding at the same time. <br /><br />&#34;The Council provides good training and financial support for Kensington and Chelsea&#39;s foster carers. I encourage anyone who is considering fostering to attend the information evening.&#34;<br /><br />Two foster carers in the Royal Borough of Kensington and Chelsea, Daniela and Scott, said: &#34;One of the most special experiences for us has been to see how only a little bit of help can sometimes be quite life changing for the families.&#34;<br /><br />For more information about fostering, go to www.rbkc.gov.uk/fosterus or call free on 0800 1832400. <br />","NULL","NULL","NULL","NULL","Foster","Fostering","Foster care ","Foster carers","children","Residents considering fostering can find out more at an information evening on Thursday 20 October, from 6pm to 8pm at Isaac Newton Centre, 108A Lancaster Road, W11 1QS.","Could you foster?"
